topic,score,clue,response
KSI Miami,400,"This three-letter KSI family abbreviation covers recovery planning, as in KSI-RPL identifiers about backups and objectives.",What is RPL?
KSI Miami,500,"Key Security Indicators are written as concise, declarative outcome statements; each KSI also lists these mappings to the older Rev5 baseline.",What are Related SP 800-53 Controls?
KSI Miami,500,"This three-letter KSI family abbreviation, seen in KSI-PIY identifiers, concerns inventories and the policy/inventory domain.",What is PIY (Policy & Inventory)?
The Sacred Texts,100,"These rules require providers to continuously identify, analyze, prioritize, and respond to weaknesses in their offering.",What is Vulnerability Detection and Response?
The Sacred Texts,200,"These rules help agencies use shared, current authorization information to monitor a cloud offering together rather than in isolation.",What is Collaborative Continuous Monitoring?
The Sacred Texts,200,"These rules outline the expectations for a simple, plain-language overview of a provider's certification.",What is the Certification Package Overview?
The Sacred Texts,300,These rules (formerly the FedRAMP Security Inbox rules) govern how FedRAMP and providers exchange messages and how urgency is conveyed.,What is Addressing FedRAMP Communication?
The Sacred Texts,300,These rules clarify how providers should select and use cryptographic modules in a FedRAMP context.,What is Cryptographic Module Use?
The Sacred Texts,400,"These rules summarize the demands the FedRAMP Authorization Act and OMB M-24-15 place on agencies into a simple, FedRAMP-style rule set.",What is Agency Use of FedRAMP Certified Cloud Services?
The Sacred Texts,400,These rules let providers store and share their FedRAMP Certification data with agencies and FedRAMP.,What is Certification Data Sharing?
The Sacred Texts,500,"These rules govern how an offering reports and communicates an incident, supporting initial, ongoing, and final report variants.",What is Incident Evaluation and Communication?
The Sacred Texts,500,These rules define the conditions and process for notifying FedRAMP when an offering undergoes a material change.,What is Significant Change Notification?
Welcome to Whoville,100,Federal agencies must ensure any cloud service they use within FedRAMP's scope has a FedRAMP Certification; these stakeholders are the government customers.,What are Agencies?
Welcome to Whoville,200,"This stakeholder performs assessment, verification, or validation activities for an offering seeking to obtain or maintain FedRAMP Certification.",What is an Assessor?
Welcome to Whoville,200,This stakeholder helps a provider navigate the federal marketplace and prepare for FedRAMP without replacing the provider's responsibility or the assessor's independence.,What is an Advisor?
Welcome to Whoville,300,Independent assessment services that hold this status are authorized by FedRAMP to perform assessment activities on its behalf.,What is FedRAMP Recognized?
Welcome to Whoville,400,These federal entities have interests directly affected (or likely to be) by a vulnerability or incident involving federal customer data; this always includes FedRAMP and impacted agency customers.,What are All Affected Parties?
Welcome to Whoville,400,This stakeholder is the cloud service provider responsible for a cloud service offering in the context of FedRAMP Certification.,What is a Provider?
Welcome to Whoville,500,"This entity, established in law at the end of 2022 with government-wide guidance in 2024, operates the program and issues certifications.",What is FedRAMP (the program)?
Welcome to Whoville,500,All entities who participate in the FedRAMP assessment of a cloud service offering in the context of a FedRAMP Certification are referred to collectively by this defined term.,What are All Necessary Assessors?
I am the law,100,FedRAMP was established in law to provide a standardized approach to the assessment and authorization of these products and services that process unclassified federal information.,What is cloud computing (cloud services)?
I am the law,200,"This OMB Memorandum is quoted directly to define FedRAMP's scope as cloud products and services (IaaS, PaaS, SaaS) that handle federal information.",What is OMB Memorandum M-24-15?
I am the law,300,"FedRAMP does not apply to every internet-based service an agency uses; a single cloud service may even be partly within and partly outside scope, judged by these.",What are Agency Use Case Indicators?
I am the law,300,"Certain categories of cloud products and services are specified as this relative to FedRAMP, subject to exceptions made by the FedRAMP Director.",What is Outside the Scope of FedRAMP?
I am the law,400,This 2022 law formally established the modern FedRAMP program and mandated a government-wide overhaul.,What is the FedRAMP Authorization Act?
I am the law,500,"The FedRAMP Definitions cite this title of the U.S. Code repeatedly for terms like ""agency,"" ""machine-readable,"" and ""information resource.""",What is 44 U.S. Code?
