type,prefix,subset_id,subset_name,subset_types,subset_paths,subset_classes,subset_affects,rule_id,name,class,statement,force,following_information,notes,terms
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-ERT,Elevated Reaction Timeframes,,FedRAMP MUST clearly specify the expected timeframe for completing required actions in the body of messages that require an elevated reaction; timeframes for actions will vary depending on the situation but the default timeframes to provide an estimated resolution time for Emergency and Emergency Test designated messages will be as follows:,MUST,"**Class D:** within 12 hours
**Class C:** by 3:00 p.m. Eastern Time on the 2nd business day
**Class B:** by 3:00 p.m. Eastern Time on the 3rd business day
**Class A:** by 3:00 p.m. Eastern Time on the 5th business day",FedRAMP Class D Certified cloud service providers are expected to address Emergency messages (including tests) from FedRAMP with a reaction time appropriate to operating a service where failure to react rapidly might have a severe or debilitating customer effect on the U.S. Government; some Emergency messages may require faster reaction and all such messages should be addressed as quickly as possible.,"Debilitating Customer Effect
FedRAMP Certified
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-ERT,Elevated Reaction Timeframes,,FedRAMP MUST clearly specify the expected timeframe for completing required actions in the body of messages that require an elevated reaction; timeframes for actions will vary depending on the situation but the default timeframes to provide an estimated resolution time for Emergency and Emergency Test designated messages will be as follows:,MUST,"**Class D:** within 12 hours
**Class C:** by 3:00 p.m. Eastern Time on the 2nd business day
**Class B:** by 3:00 p.m. Eastern Time on the 3rd business day
**Class A:** by 3:00 p.m. Eastern Time on the 5th business day",FedRAMP Class D Certified cloud service providers are expected to address Emergency messages (including tests) from FedRAMP with a reaction time appropriate to operating a service where failure to react rapidly might have a severe or debilitating customer effect on the U.S. Government; some Emergency messages may require faster reaction and all such messages should be addressed as quickly as possible.,"Debilitating Customer Effect
FedRAMP Certified
Provider"
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-COR,Explain Corrective Actions,,FedRAMP MUST clearly specify the corrective actions that will result from failure to complete the required actions in the body of messages that require an elevated reaction; such actions may vary from negative ratings in the FedRAMP Marketplace to suspension of FedRAMP Certification depending on the severity of the event.,MUST,,,
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-COR,Explain Corrective Actions,,FedRAMP MUST clearly specify the corrective actions that will result from failure to complete the required actions in the body of messages that require an elevated reaction; such actions may vary from negative ratings in the FedRAMP Marketplace to suspension of FedRAMP Certification depending on the severity of the event.,MUST,,,
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-RPM,Reaction Metrics,,FedRAMP MAY track and publicly share the time required by cloud service providers to take the actions specified in messages that require an elevated reaction.,MAY,,,Provider
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-RPM,Reaction Metrics,,FedRAMP MAY track and publicly share the time required by cloud service providers to take the actions specified in messages that require an elevated reaction.,MAY,,,Provider
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-INB,Maintain a FedRAMP Security Inbox,,Providers MUST establish and maintain an email address to receive messages from FedRAMP; this inbox is a FedRAMP Security Inbox (FSI).,MUST,,"Unless otherwise notified, FedRAMP will use the listed Security Email on the Marketplace for these notifications.
If a provider establishes a new inbox in reaction to this guidance that is different from the Security Email then they must follow the AFC-CSO-NOC (Notification of Changes) rules to notify FedRAMP.","FedRAMP Security Inbox
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-INB,Maintain a FedRAMP Security Inbox,,Providers MUST establish and maintain an email address to receive messages from FedRAMP; this inbox is a FedRAMP Security Inbox (FSI).,MUST,,"Unless otherwise notified, FedRAMP will use the listed Security Email on the Marketplace for these notifications.
If a provider establishes a new inbox in reaction to this guidance that is different from the Security Email then they must follow the AFC-CSO-NOC (Notification of Changes) rules to notify FedRAMP.","FedRAMP Security Inbox
Provider"
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-NOC,Notification of Changes,,Providers MUST immediately notify FedRAMP of any changes to the email address for their FedRAMP Security Inbox.,MUST,,,"FedRAMP Security Inbox
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-NOC,Notification of Changes,,Providers MUST immediately notify FedRAMP of any changes to the email address for their FedRAMP Security Inbox.,MUST,,,"FedRAMP Security Inbox
Provider"
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-TFG,Trust @fedramp.gov and @gsa.gov,,Providers MUST treat any email originating from an @fedramp.gov or @gsa.gov email address as if it was sent from FedRAMP by default; if such a message is confirmed to originate from someone other than FedRAMP then the FedRAMP Security Inbox rules no longer apply.,MUST,,,"FedRAMP Security Inbox
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-TFG,Trust @fedramp.gov and @gsa.gov,,Providers MUST treat any email originating from an @fedramp.gov or @gsa.gov email address as if it was sent from FedRAMP by default; if such a message is confirmed to originate from someone other than FedRAMP then the FedRAMP Security Inbox rules no longer apply.,MUST,,,"FedRAMP Security Inbox
Provider"
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-RCV,Receive Email Without Disruption,,Providers MUST receive and react to email messages from FedRAMP without disruption and without requiring additional actions from FedRAMP.,MUST,,"This requirement is intended to prevent cloud service providers from requiring FedRAMP to complete a CAPTCHA, log into a customer portal, or otherwise take service-specific actions that might prevent the security team from receiving the message.",Provider
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-RCV,Receive Email Without Disruption,,Providers MUST receive and react to email messages from FedRAMP without disruption and without requiring additional actions from FedRAMP.,MUST,,"This requirement is intended to prevent cloud service providers from requiring FedRAMP to complete a CAPTCHA, log into a customer portal, or otherwise take service-specific actions that might prevent the security team from receiving the message.",Provider
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-CRA,Complete Required Actions,,Providers MUST complete the required actions in Emergency or Emergency Test designated messages sent by FedRAMP within the timeframe included in the message.,MUST,,Timeframes may vary by FedRAMP Certification class.,"Certification Class
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-CRA,Complete Required Actions,,Providers MUST complete the required actions in Emergency or Emergency Test designated messages sent by FedRAMP within the timeframe included in the message.,MUST,,Timeframes may vary by FedRAMP Certification class.,"Certification Class
Provider"
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-EMR,Emergency Message Routing,,Providers MUST route Emergency designated messages sent by FedRAMP to a senior security official for their awareness.,MUST,,Senior security officials are determined by the provider.,Provider
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-EMR,Emergency Message Routing,,Providers MUST route Emergency designated messages sent by FedRAMP to a senior security official for their awareness.,MUST,,Senior security officials are determined by the provider.,Provider
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-IMA,Important Message Actions,,Providers SHOULD complete the required actions in Important designated messages sent by FedRAMP within the timeframe specified in the message.,SHOULD,,Timeframes may vary by FedRAMP Certification class.,"Certification Class
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-IMA,Important Message Actions,,Providers SHOULD complete the required actions in Important designated messages sent by FedRAMP within the timeframe specified in the message.,SHOULD,,Timeframes may vary by FedRAMP Certification class.,"Certification Class
Provider"
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-CSO-ACK,Acknowledge Receipt,,Providers SHOULD promptly and automatically acknowledge the receipt of messages received from FedRAMP in their FedRAMP Security Inbox.,SHOULD,,,"FedRAMP Security Inbox
Promptly
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-CSO-ACK,Acknowledge Receipt,,Providers SHOULD promptly and automatically acknowledge the receipt of messages received from FedRAMP in their FedRAMP Security Inbox.,SHOULD,,,"FedRAMP Security Inbox
Promptly
Provider"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-AIP,Agency Internal Policies,,Agencies MUST maintain agency-wide policy that aligns with the requirements in OMB Memorandum M-24-15.,MUST,,,Agency
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-AIP,Agency Internal Policies,,Agencies MUST maintain agency-wide policy that aligns with the requirements in OMB Memorandum M-24-15.,MUST,,,Agency
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-AIP,Agency Internal Policies,,Agencies MUST maintain agency-wide policy that aligns with the requirements in OMB Memorandum M-24-15.,MUST,,,Agency
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-NAA,Notify FedRAMP After Authorization,,"Agencies MUST notify FedRAMP upon authorizing the use of a cloud service within the scope of FedRAMP, supplying at least the following information:",MUST,"A copy of the agency's Authorization to Operate letter for the information system leveraging the cloud service, following agency policy and templates.
All other supplemental information requested in the Submit an ATO Letter form by FedRAMP.",,Agency
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-NAA,Notify FedRAMP After Authorization,,"Agencies MUST notify FedRAMP upon authorizing the use of a cloud service within the scope of FedRAMP, supplying at least the following information:",MUST,"A copy of the agency's Authorization to Operate letter for the information system leveraging the cloud service, following agency policy and templates.
All other supplemental information requested in the Submit an ATO Letter form by FedRAMP.",,Agency
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-NAA,Notify FedRAMP After Authorization,,"Agencies MUST notify FedRAMP upon authorizing the use of a cloud service within the scope of FedRAMP, supplying at least the following information:",MUST,"A copy of the agency's Authorization to Operate letter for the information system leveraging the cloud service, following agency policy and templates.
All other supplemental information requested in the Submit an ATO Letter form by FedRAMP.",,Agency
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-GRC,"Governance, Risk, and Compliance Tools",,"Agencies MUST ensure that internal governance, risk, compliance, and inventory tools can produce and ingest machine-readable artifacts using formats identified by FedRAMP, including at least:",MUST,"Open Security Controls Assessment Language (OSCAL)
JSON",,"Agency
Artifacts
Machine-Readable"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-GRC,"Governance, Risk, and Compliance Tools",,"Agencies MUST ensure that internal governance, risk, compliance, and inventory tools can produce and ingest machine-readable artifacts using formats identified by FedRAMP, including at least:",MUST,"Open Security Controls Assessment Language (OSCAL)
JSON",,"Agency
Artifacts
Machine-Readable"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-GRC,"Governance, Risk, and Compliance Tools",,"Agencies MUST ensure that internal governance, risk, compliance, and inventory tools can produce and ingest machine-readable artifacts using formats identified by FedRAMP, including at least:",MUST,"Open Security Controls Assessment Language (OSCAL)
JSON",,"Agency
Artifacts
Machine-Readable"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-NAI,Notify Additional Information Requests,,Agencies MUST notify FedRAMP after requesting any additional information or materials from a FedRAMP Certified cloud service offering beyond those required by FedRAMP.,MUST,,Agencies are expected to notify FedRAMP under OMB Memorandum M-24-15 section IV (a).,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-NAI,Notify Additional Information Requests,,Agencies MUST notify FedRAMP after requesting any additional information or materials from a FedRAMP Certified cloud service offering beyond those required by FedRAMP.,MUST,,Agencies are expected to notify FedRAMP under OMB Memorandum M-24-15 section IV (a).,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-NAI,Notify Additional Information Requests,,Agencies MUST notify FedRAMP after requesting any additional information or materials from a FedRAMP Certified cloud service offering beyond those required by FedRAMP.,MUST,,Agencies are expected to notify FedRAMP under OMB Memorandum M-24-15 section IV (a).,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-NAR,No Additional Security Requirements,,Agencies MUST NOT require additional information or materials from FedRAMP Certified cloud service offerings beyond those required by FedRAMP UNLESS the head of the agency or an authorized delegate determines there is a demonstrable need and notifies FedRAMP; this does not apply to seeking clarification or asking general questions about FedRAMP Certification Data.,MUST NOT,,This is related to the Presumption of Adequacy for a FedRAMP Certification and notification is mandated by OMB Memorandum M-24-15 section IV (a).,"Agency
Certification Data
Cloud Service Offering
FedRAMP Certified"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-NAR,No Additional Security Requirements,,Agencies MUST NOT require additional information or materials from FedRAMP Certified cloud service offerings beyond those required by FedRAMP UNLESS the head of the agency or an authorized delegate determines there is a demonstrable need and notifies FedRAMP; this does not apply to seeking clarification or asking general questions about FedRAMP Certification Data.,MUST NOT,,This is related to the Presumption of Adequacy for a FedRAMP Certification and notification is mandated by OMB Memorandum M-24-15 section IV (a).,"Agency
Certification Data
Cloud Service Offering
FedRAMP Certified"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-NAR,No Additional Security Requirements,,Agencies MUST NOT require additional information or materials from FedRAMP Certified cloud service offerings beyond those required by FedRAMP UNLESS the head of the agency or an authorized delegate determines there is a demonstrable need and notifies FedRAMP; this does not apply to seeking clarification or asking general questions about FedRAMP Certification Data.,MUST NOT,,This is related to the Presumption of Adequacy for a FedRAMP Certification and notification is mandated by OMB Memorandum M-24-15 section IV (a).,"Agency
Certification Data
Cloud Service Offering
FedRAMP Certified"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-TPP,No Certification Type or Path Preferences,,"Agencies MUST NOT require cloud service offerings to obtain or maintain a specific FedRAMP Certification Type or FedRAMP Certification Path, UNLESS the head of the agency or an authorized delegate determines there is a demonstrable need and notifies FedRAMP.",MUST NOT,,This is related to the Presumption of Adequacy for a FedRAMP Certification and notification is mandated by OMB Memorandum M-24-15 section IV (a).,"Agency
Certification Path
Certification Type
Cloud Service Offering
FedRAMP Certified"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-TPP,No Certification Type or Path Preferences,,"Agencies MUST NOT require cloud service offerings to obtain or maintain a specific FedRAMP Certification Type or FedRAMP Certification Path, UNLESS the head of the agency or an authorized delegate determines there is a demonstrable need and notifies FedRAMP.",MUST NOT,,This is related to the Presumption of Adequacy for a FedRAMP Certification and notification is mandated by OMB Memorandum M-24-15 section IV (a).,"Agency
Certification Path
Certification Type
Cloud Service Offering
FedRAMP Certified"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-TPP,No Certification Type or Path Preferences,,"Agencies MUST NOT require cloud service offerings to obtain or maintain a specific FedRAMP Certification Type or FedRAMP Certification Path, UNLESS the head of the agency or an authorized delegate determines there is a demonstrable need and notifies FedRAMP.",MUST NOT,,This is related to the Presumption of Adequacy for a FedRAMP Certification and notification is mandated by OMB Memorandum M-24-15 section IV (a).,"Agency
Certification Path
Certification Type
Cloud Service Offering
FedRAMP Certified"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-WKG,FedRAMP Working Groups,,"Agencies SHOULD participate in FedRAMP working groups, communities of practice, and stakeholder engagements to supply feedback and align practices across government.",SHOULD,,,Agency
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-WKG,FedRAMP Working Groups,,"Agencies SHOULD participate in FedRAMP working groups, communities of practice, and stakeholder engagements to supply feedback and align practices across government.",SHOULD,,,Agency
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-WKG,FedRAMP Working Groups,,"Agencies SHOULD participate in FedRAMP working groups, communities of practice, and stakeholder engagements to supply feedback and align practices across government.",SHOULD,,,Agency
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-LIA,Agency Liaison Program,,Agencies SHOULD assign at least 1 federal employee to be an active participant in the FedRAMP Agency Liaison program.,SHOULD,,,Agency
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-LIA,Agency Liaison Program,,Agencies SHOULD assign at least 1 federal employee to be an active participant in the FedRAMP Agency Liaison program.,SHOULD,,,Agency
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-LIA,Agency Liaison Program,,Agencies SHOULD assign at least 1 federal employee to be an active participant in the FedRAMP Agency Liaison program.,SHOULD,,,Agency
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-SIN,Shared FedRAMP Inbox,,Agencies SHOULD establish and maintain a dedicated shared FedRAMP agency inbox to serve as the official point of contact for communications between FedRAMP and the agency.,SHOULD,,A shared FedRAMP agency inbox may follow an agency-specific format such as agency-fedramp@agency.gov.,Agency
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-AGC-SIN,Shared FedRAMP Inbox,,Agencies SHOULD establish and maintain a dedicated shared FedRAMP agency inbox to serve as the official point of contact for communications between FedRAMP and the agency.,SHOULD,,A shared FedRAMP agency inbox may follow an agency-specific format such as agency-fedramp@agency.gov.,Agency
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-AGC-SIN,Shared FedRAMP Inbox,,Agencies SHOULD establish and maintain a dedicated shared FedRAMP agency inbox to serve as the official point of contact for communications between FedRAMP and the agency.,SHOULD,,A shared FedRAMP agency inbox may follow an agency-specific format such as agency-fedramp@agency.gov.,Agency
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-ABU,Authorization Before Use,,Agencies MUST complete the Authorization to Operate process for federal information systems that use FedRAMP Certified cloud service offerings.,MUST,,FedRAMP provides technical assistance to help agencies navigate this process.,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-ABU,Authorization Before Use,,Agencies MUST complete the Authorization to Operate process for federal information systems that use FedRAMP Certified cloud service offerings.,MUST,,FedRAMP provides technical assistance to help agencies navigate this process.,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-USE-ABU,Authorization Before Use,,Agencies MUST complete the Authorization to Operate process for federal information systems that use FedRAMP Certified cloud service offerings.,MUST,,FedRAMP provides technical assistance to help agencies navigate this process.,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-RCF,Resolve Certification Package Conflicts,,Agencies MUST collaborate with FedRAMP when discrepancies or conflicts arise between agency-specific security determinations and the FedRAMP Certification Package.,MUST,,,"Agency
Certification Package"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-RCF,Resolve Certification Package Conflicts,,Agencies MUST collaborate with FedRAMP when discrepancies or conflicts arise between agency-specific security determinations and the FedRAMP Certification Package.,MUST,,,"Agency
Certification Package"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-USE-RCF,Resolve Certification Package Conflicts,,Agencies MUST collaborate with FedRAMP when discrepancies or conflicts arise between agency-specific security determinations and the FedRAMP Certification Package.,MUST,,,"Agency
Certification Package"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-RSG,Review Secure Configuration Guides,,Agencies MUST review the Secure Configuration Guides supplied by Providers and configure relevant security settings.,MUST,,,"Agency
Provider"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-RSG,Review Secure Configuration Guides,,Agencies MUST review the Secure Configuration Guides supplied by Providers and configure relevant security settings.,MUST,,,"Agency
Provider"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-USE-RSG,Review Secure Configuration Guides,,Agencies MUST review the Secure Configuration Guides supplied by Providers and configure relevant security settings.,MUST,,,"Agency
Provider"
all,AGU,AGC,General Agency Responsibilities,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-AFR,Accept FedRAMP Rules,,Agencies MUST allow FedRAMP Certified cloud service offerings to follow FedRAMP rules.,MUST,,,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,USE,Use of FedRAMP Certifications,"20x,Rev5","Program,Agency","A,B,C,D",Agencies,AGU-USE-AFR,Accept FedRAMP Rules,,Agencies MUST allow FedRAMP Certified cloud service offerings to follow FedRAMP rules.,MUST,,,"Agency
Cloud Service Offering
FedRAMP Certified"
all,AGU,SPN,Agency Sponsored Certifications,Rev5,Agency,"B,C,D",Agencies,AGU-USE-AFR,Accept FedRAMP Rules,,Agencies MUST allow FedRAMP Certified cloud service offerings to follow FedRAMP rules.,MUST,,,"Agency
Cloud Service Offering
FedRAMP Certified"
